seat_number,seat_coordinates
1,"[245, 327, 40, 122]"
2,"[254, 330, 114, 195]"
3,"[251, 340, 212, 320]"
4,"[262, 359, 324, 416]"
5,"[270, 382, 441, 578]"
6,"[280, 394, 640, 779]"
7,"[291, 398, 836, 992]"
8,"[287, 403, 1033, 1175]"
9,"[318, 439, 1215, 1374]"
10,"[341, 445, 1393, 1538]"
11,"[177, 250, 199, 289]"
12,"[168, 247, 312, 398]"
13,"[183, 252, 413, 506]"
14,"[194, 262, 536, 637]"
15,"[193, 261, 652, 760]"
16,"[198, 276, 783, 913]"
17,"[193, 280, 961, 1059]"
18,"[199, 299, 1123, 1248]"
19,"[212, 304, 1267, 1368]"
20,"[235, 336, 1421, 1524]"
21,"[241, 340, 1543, 1627]"
22,"[140, 192, 430, 530]"
23,"[143, 192, 548, 630]"
24,"[130, 185, 649, 737]"
25,"[126, 205, 767, 857]"
26,"[136, 209, 905, 997]"
27,"[140, 212, 1031, 1099]"
28,"[165, 206, 1131, 1229]"
29,"[162, 215, 1261, 1344]"
30,"[184, 246, 1380, 1458]"
31,"[143, 189, 1319, 1395]"
32,"[114, 168, 1222, 1291]"
33,"[111, 160, 1108, 1174]"
34,"[101, 151, 994, 1050]"
35,"[102, 147, 702, 785]"
