seat_number,seat_coordinates
1,"[200, 282, 64, 173]"
2,"[201, 286, 213, 309]"
3,"[189, 280, 332, 427]"
4,"[191, 293, 440, 561]"
5,"[181, 292, 597, 725]"
6,"[183, 296, 779, 905]"
7,"[193, 310, 952, 1089]"
8,"[128, 178, 169, 276]"
9,"[118, 175, 277, 361]"
10,"[115, 178, 363, 471]"
11,"[103, 170, 502, 592]"
12,"[93, 171, 630, 727]"
13,"[106, 176, 780, 883]"
14,"[108, 176, 921, 1035]"
15,"[52, 115, 283, 357]"
16,"[62, 115, 364, 442]"
17,"[57, 104, 485, 574]"
18,"[53, 97, 621, 703]"
19,"[44, 105, 721, 800]"
20,"[50, 100, 823, 912]"
21,"[50, 105, 934, 1041]"
22,"[24, 64, 379, 450]"
23,"[14, 61, 467, 539]"
24,"[6, 53, 566, 638]"
25,"[9, 50, 665, 728]"
26,"[1, 54, 757, 826]"
27,"[4, 60, 837, 926]"
28,"[14, 51, 947, 1025]"
