seat_number,seat_coordinates
1,"[345, 494, 492, 677]"
2,"[332, 496, 721, 951]"
3,"[315, 448, 966, 1146]"
4,"[300, 442, 1148, 1324]"
5,"[182, 285, 510, 648]"
6,"[172, 277, 660, 802]"
7,"[152, 260, 839, 958]"
8,"[142, 258, 986, 1114]"
9,"[144, 256, 1125, 1229]"
10,"[156, 257, 1220, 1334]"
11,"[56, 155, 505, 594]"
12,"[50, 145, 619, 714]"
13,"[69, 143, 734, 832]"
14,"[65, 154, 836, 953]"
15,"[58, 142, 982, 1078]"
16,"[58, 144, 1098, 1184]"
17,"[71, 153, 1200, 1299]"
18,"[81, 157, 1319, 1399]"
19,"[3, 56, 501, 595]"
20,"[2, 56, 609, 697]"
21,"[1, 61, 720, 804]"
22,"[1, 56, 833, 912]"
23,"[0, 58, 931, 1013]"
24,"[2, 60, 1029, 1109]"
25,"[1, 74, 1131, 1199]"
26,"[21, 72, 1132, 1199]"
27,"[21, 78, 1205, 1261]"
28,"[36, 97, 1285, 1340]"
