seat_number,seat_coordinates
1,"[328, 492, 312, 498]"
2,"[353, 536, 514, 750]"
3,"[414, 601, 869, 1089]"
4,"[435, 653, 1277, 1526]"
5,"[178, 289, 293, 435]"
6,"[195, 296, 451, 600]"
7,"[196, 323, 613, 808]"
8,"[222, 355, 845, 1034]"
9,"[243, 384, 1171, 1356]"
10,"[276, 419, 1428, 1597]"
11,"[89, 154, 248, 352]"
12,"[93, 163, 379, 479]"
13,"[99, 169, 510, 637]"
14,"[106, 196, 653, 792]"
15,"[117, 202, 850, 1011]"
16,"[130, 215, 1059, 1166]"
17,"[128, 230, 1193, 1335]"
18,"[162, 265, 1431, 1574]"
19,"[35, 90, 252, 315]"
20,"[27, 90, 337, 437]"
21,"[33, 94, 479, 579]"
22,"[41, 100, 588, 693]"
23,"[40, 116, 810, 958]"
24,"[34, 124, 966, 1084]"
25,"[55, 135, 1135, 1251]"
26,"[53, 143, 1130, 1259]"
27,"[56, 144, 1265, 1391]"
28,"[67, 159, 1406, 1542]"
